,side,market,wallet,shares,yes_no_index,pseudonym
160,NO,tyler-robinson-convicted-of-homicide,0xdd950b3e23666ebb4dedbb6b515edd066bef17e8,20.0,1,Compassionate-Camel
87,YES,tyler-robinson-convicted-of-homicide,0x351a53e95f06f207b8878f4b0d1ff7635556f836,20.0,0,Married-Hour
85,YES,tyler-robinson-convicted-of-homicide,0x932b2b81d2bdbe9d0967a6ff73162e4bfcb7b4da,20.0,0,Advanced-Shoot
86,YES,tyler-robinson-convicted-of-homicide,0xdaeee5434e9be517b703d238f0287b0603e47e88,20.0,0,Sick-Stress
88,YES,tyler-robinson-convicted-of-homicide,0x86f7dbacd13c144e334e86ec1639fa9e2854f459,20.0,0,Unsteady-Blade
89,YES,tyler-robinson-convicted-of-homicide,0x87ff41be5fd7aafe97095d21580be122a73783f1,20.0,0,Impractical-Seashore
90,YES,tyler-robinson-convicted-of-homicide,0x17e9a3c48480176814fecff2b1e32cf49502590d,20.0,0,Luminous-Season
84,YES,tyler-robinson-convicted-of-homicide,0x15d7a8491682dfc45f96a3d6bef525d7d0992c4d,20.0,0,Concerned-Horde
161,NO,tyler-robinson-convicted-of-homicide,0xaa3f32c865cf63860f774a38ebaba8549ea82d8b,19.0,1,Ancient-Era
91,YES,tyler-robinson-convicted-of-homicide,0x87d39f2bc9505a771672814a193c62fe9e9ccb86,18.0,0,Worthy-Plantation-Worth
162,NO,tyler-robinson-convicted-of-homicide,0x65ab0bf5c363ceeb042248f3ed58d5156a410a76,18.0,1,Sandy-Diaphragm
163,NO,tyler-robinson-convicted-of-homicide,0x3458ae6606828ed4d9666573e1585d9419efb5a7,18.0,1,Green-Birdwatcher
92,YES,tyler-robinson-convicted-of-homicide,0x409e60f5b1eaaf053cbb65457c9247d56b6ba1e0,18.0,0,Decisive-Picnic
93,YES,tyler-robinson-convicted-of-homicide,0x9b0865ac699d79b1c1357ed6948c9fac984c4632,18.0,0,Pungent-Airplane
94,YES,tyler-robinson-convicted-of-homicide,0x787585d93056275e8d02f32c309673a4d70d0dfb,18.0,0,Square-Itinerary
164,NO,tyler-robinson-convicted-of-homicide,0xedc4e9604396800bac6f5f28958f117b6dd8be57,17.0,1,Spotted-Unemployment
165,NO,tyler-robinson-convicted-of-homicide,0xc94da03f36ef1cc283e38736ba7c4b9c7974af5d,17.0,1,Frail-Match-Whisker
168,NO,tyler-robinson-convicted-of-homicide,0x7f787235a6a116cb0fa3e4857860636edabc657f,16.0,1,
166,NO,tyler-robinson-convicted-of-homicide,0xb8fc28bbf7b8c9c5f9e0bbbd7272adaba4e6ed7f,16.0,1,Past-Reverse
167,NO,tyler-robinson-convicted-of-homicide,0xd0f884f3fecca09f4a0945620b4befa64f3d73a1,16.0,1,Weepy-Power
95,YES,tyler-robinson-convicted-of-homicide,0x5e9c2ca7bdb2b4bfb9d885e9009e8104089db5cf,15.0,0,Unpleasant-Favor
169,NO,tyler-robinson-convicted-of-homicide,0x270284ed51809821905cefd2766303e6b1147cb4,15.0,1,Jumbo-Designer
97,YES,tyler-robinson-convicted-of-homicide,0x1400d526f45c191451052890f3b6f06c5a0ccbf5,15.0,0,Extra-Small-Fishbone
96,YES,tyler-robinson-convicted-of-homicide,0x926c3bd0746fb58cfff0740ec60b694136ce96d3,15.0,0,Medium-Documentation
170,NO,tyler-robinson-convicted-of-homicide,0x69b5c5b49bfab9bbc5d6d99eb66c5d4cf3503b73,15.0,1,
171,NO,tyler-robinson-convicted-of-homicide,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,14.0,1,
99,YES,tyler-robinson-convicted-of-homicide,0x0a3a6d9ac826e260ff6b9bac779763d54ec459cb,13.0,0,Required-Differential
